#,Серия,Параметр:Серия:Серия,Условное обозначение:Серия:Cерия,Форма корпуса,Параметр:Форма корпуса:Форма корпуса,Тип подсоединения,Параметр:Тип подсоединения:Тип подсоединения,Материал седла,Параметр:Материал седла:Материал седла,Размеры подсоединений,Параметр:Размеры подсоединений:Размеры подсоединений,Крепление на панель,Параметр:Крепление на панель:Крепление на панель,Рукоятка,Параметр:Рукоятка:Рукоятка,Условное обозначение:Рукоятка:Рукоятка,Замок ручки,Параметр:Замок ручки:Замок ручки,Применение для кислых сред,Параметр:Применение для кислых сред:Применение для кислых сред,Материал,Параметр:Материал:Материал,Серия привода,Параметр:Серия привода:Серия привода
,H2B,H2B,Ду 12.7мм,-,Проходной 2-х ходовой,H,Трубный фитинг Hy-Lok,PK-PT,PK-PT,4N,NPT 1/4,-,Отсутствует,-,-,Стандартная,L,Есть,-,Отсутствует (стандарт),-,Нержавеющая сталь S316 (по умолчанию),APB-O,Пневмопривод нормально открытый
,H3B,H3B,Ду 19.0мм,A,Угловой 2-х ходовой,M,Наружная резьба,,,6N,NPT 3/8,,,O,O,Овальная,,,SOG,NACE MR-01-75,MONE,Монель,,
,,,,3S,3-х ходовой вход сбоку,F,Внутренняя резьба,,,8N,NPT 1/2,,,,,,,,,,,,,
,,,,3B,3-х ходовой вход снизу,,,,,12N,NPT 3/4,,,,,,,,,,,,,
,,,,,,,,,,16N,NPT 1,,,,,,,,,,,,,
,,,,,,,,,,4R,RT (BSPT) 1/4,,,,,,,,,,,,,
,,,,,,,,,,6R,RT (BSPT) 3/8,,,,,,,,,,,,,
,,,,,,,,,,8R,RT (BSPT) 1/2,,,,,,,,,,,,,
,,,,,,,,,,12R,RT (BSPT) 3/4,,,,,,,,,,,,,
,,,,,,,,,,16R,RT (BSPT) 1,,,,,,,,,,,,,
,,,,,,,,,,4G,G (BSPP) 1/4,,,,,,,,,,,,,
,,,,,,,,,,6G,G (BSPP) 3/8,,,,,,,,,,,,,
,,,,,,,,,,8G,G (BSPP) 1/2,,,,,,,,,,,,,
,,,,,,,,,,12G,G (BSPP) 3/4,,,,,,,,,,,,,
,,,,,,,,,,16G,G (BSPP) 1,,,,,,,,,,,,,
,,,,,,,,,,6M,Hy-Lok 6mm,,,,,,,,,,,,,
,,,,,,,,,,8M,Hy-Lok 8mm,,,,,,,,,,,,,
,,,,,,,,,,10M,Hy-Lok 10mm,,,,,,,,,,,,,
,,,,,,,,,,12M,Hy-Lok 12mm,,,,,,,,,,,,,
,,,,,,,,,,14M,Hy-Lok 14mm,,,,,,,,,,,,,
,,,,,,,,,,16M,Hy-Lok 16mm,,,,,,,,,,,,,
,,,,,,,,,,18M,Hy-Lok 18mm,,,,,,,,,,,,,
,,,,,,,,,,20M,Hy-Lok 20mm,,,,,,,,,,,,,
,,,,,,,,,,25M,Hy-Lok 25mm,,,,,,,,,,,,,
,,,,,,,,,,4T,Hy-Lok 1/4,,,,,,,,,,,,,
,,,,,,,,,,6T,Hy-Lok 3/8,,,,,,,,,,,,,
,,,,,,,,,,8T,Hy-Lok 1/2,,,,,,,,,,,,,
,,,,,,,,,,10T,Hy-Lok 5/8,,,,,,,,,,,,,
,,,,,,,,,,12T,Hy-Lok 3/4,,,,,,,,,,,,,
,,,,,,,,,,16T,Hy-Lok 1,,,,,,,,,,,,,
