#,Заказной код,Конфигурация,Параметр:Конфигурация:Макс. рабочее давление фланца (бар),Параметр:Конфигурация:Размер,Параметр:Конфигурация:Труба,Параметр:Конфигурация:Ø A,Параметр:Конфигурация:Ø B,Параметр:Конфигурация:C,Параметр:Конфигурация:D,Параметр:Конфигурация:E,Параметр:Конфигурация:F,Параметр:Конфигурация:G,Параметр:Конфигурация:L,Параметр:Конфигурация:M (метр.),Параметр:Конфигурация:M (дюйм.)
,DSFS,3003-28,315,"1""",28 x 3,28,22,"52,4",70,"26,2","58,4",100,"10,5",M 10x35,"3/8"" x 1.1/4"""
,,3003-30,315,"1""",30 x 4,30,22,"52,4",70,"26,2","58,4",100,"10,5",M 10x35,"3/8"" x 1.1/4"""
,,3003-33.7,315,"1""",33.7 x 4.5,34,"24,7","52,4",70,"26,2","58,4",100,"10,5",M 10x35,"3/8"" x 1.1/4"""
,,3003-38,315,"1""",38 x 5,38,28,"52,4",70,"26,2","58,4",100,"10,5",M 10x35,"3/8"" x 1.1/4"""
,,3004-38,250,"1.1/4""",38 x 5,38,28,"58,7",79,"30,2","72,6",110,11,*1,"7/16"" x 1.1/2"""
,,3004-42.4,250,"1.1/4""",42.4 x 6.3,43,"29,7","58,7",79,"30,2","72,6",110,11,*1,"7/16"" x 1.1/2"""
,,3005-38,200,"1.1/2""",38 x 4,38,30,"69,9",94,"35,7","82,2",114,"13,5",M 12x35,"1/2"" x 1.1/2"""
,,3005-42,200,"1.1/2""",42 x 5,42,32,"69,9",94,"35,7","82,2",114,"13,5",M 12x35,"1/2"" x 1.1/2"""
,,3005-45,200,"1.1/2""",45 x 5,45,35,"69,9",94,"35,7","82,2",114,"13,5",M 12x35,"1/2"" x 1.1/2"""
,,3005-48.3,200,"1.1/2""",48.3 x 7.1,49,34,"69,9",94,"35,7","82,2",114,"13,5",M 12x35,"1/2"" x 1.1/2"""
,,3006-55,200,"2""",55 x 5,55,45,"77,8",102,"42,9","96,4",114,"13,5",M 12x35,"1/2"" x 1.1/2"""
,,3006-60.3,200,"2""",60.3 x 8,"60,3",44,"77,8",102,"42,9","96,4",114,"13,5",M 12x35,"1/2"" x 1.1/2"""
,,3007-65,160,"2""",65 x 6,65,53,"88,9",114,"50,8","108,2",116,"13,5",M 12x40,"1/2"" x 1.3/4"""
,,3007-70,160,"2.1/2""",70 x 7.5,70,55,"88,9",114,"50,8","108,2",116,"13,5",M 12x40,"1/2"" x 1.3/4"""
,,3007-76.1,160,"2.1/2""",76.1 x 7.1,74,62,"88,9",114,"50,8","108,2",116,"13,5",M 12x40,"1/2"" x 1.3/4"""
,,3008-80,138,"2.1/2""",80 x 6,80,68,"106,4",135,"61,9","130,6",120,"16,7",M 16x45,"5/8"" x 2"""
,,6001-16,400,"1/2""",16 х 2,16,12,"40,5",56,"18,2","47,2",68,"8,5",M 8x30,"5/16"" x 1.1/4"""
,,6002-25,400,"3/4""",25 х 3.5,25,18,"50,8",71,"23,8",60,76,"10,5",M 10x35,"3/8"" x 1.1/2"""
,,6003-30,400,"1""",30 х 4,30,22,"57,2",81,"27,8","69,6",80,"13,5",M 12x45,"7/16"" x 1.3/4"""
,,6003-38,400,"1""",38 х 5,38,28,"57,2",81,"27,8","69,6",80,"13,5",M 12x45,"7/16"" x 1.3/4"""
,,6005-45,400,"1 1/2""",45 х 6.5,45,32,"79,4",113,"36,5",95,100,"16,7",M 16x55,"5/8"" x 2"""
,,6006-65,400,"2""",65 х 8,65,46,"96,8",133,"44,5","113,8",116,21,M 20x65,"3/4"" x 2.1/2"""
